title,price,link,product_searched,store
Dettol Soap Original 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-80g-366695,Dettol Soap,Imtiaz
Dettol Soap Skin Care 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-skin-care-80g-366694,Dettol Soap,Imtiaz
Dettol Hand Soap Refill Original 150Ml,Rs. 235.00,https://shop.imtiaz.com.pk/product/dettol-hand-soap-refill-original-150ml-369483,Dettol Soap,Imtiaz
Dettol Soap Original 3x80g,Rs. 325.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-3x80g-365533,Dettol Soap,Imtiaz
Dettol Soap Soothe 85g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-85g-366697,Dettol Soap,Imtiaz
Dettol Soap Soothe 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-110g-369464,Dettol Soap,Imtiaz
Dettol Soap Cool 170G,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-170g-369466,Dettol Soap,Imtiaz
Dettol Soap Original 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-4x110g-365534,Dettol Soap,Imtiaz
Dettol Soap Cool 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-80g-366723,Dettol Soap,Imtiaz
Dettol Soap Cool 3x80,Rs. 325.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-3x80-365525,Dettol Soap,Imtiaz
Dettol Soap Cool 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-4x110g-366730,Dettol Soap,Imtiaz
Dettol Soap Fresh 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-110g-366716,Dettol Soap,Imtiaz
Dettol Soap Original 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-110g-366724,Dettol Soap,Imtiaz
Dettol Soap Original 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-170g-365528,Dettol Soap,Imtiaz
Dettol Soap Cool 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-110g-365532,Dettol Soap,Imtiaz
Dettol Soap Skincare 4x115g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-skincare-4x115g-370949,Dettol Soap,Imtiaz
Dettol Soap Fresh 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-4x110g-369471,Dettol Soap,Imtiaz
Dettol Hand Soap Refill Skin Care 150Ml,Rs. 235.00,https://shop.imtiaz.com.pk/product/dettol-hand-soap-refill--skin-care-150ml-369484,Dettol Soap,Imtiaz
Dettol Soap Fresh 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-80g-366701,Dettol Soap,Imtiaz
Sprite Mint Soft Drink Botal Pett 1.5Ltr Sprite Mint,"Rs. 1,400",https://www.daraz.pk/products/15-i871566795.html,Sprite Drink,Daraz
Sprite Cold drink Jumbo 2.25 ltr - Cold drink,Rs. 280,https://www.daraz.pk/products/225-i737204097.html,Sprite Drink,Daraz
sprite bottle drink (6 pieces)/ drink Sprite bottle/ #sprite bottle drink,"Rs. 1,600",https://www.daraz.pk/products/sprite-bottle-drink-6-pieces-drink-sprite-bottle-sprite-bottle-drink-i848555681.html,Sprite Drink,Daraz
Cold drink - Sprite 1.5 Litre pack of 6,"Rs. 1,100",https://www.daraz.pk/products/6-15-i737251011.html,Sprite Drink,Daraz
Sprite 500 ml - 12-Pack - Refreshing Drink for Hot Days! ☀️,"Rs. 1,760",https://www.daraz.pk/products/500-12-i738753044.html,Sprite Drink,Daraz
Sprite Lemon Mint 500ml – 12 Bottles | Unique Citrus Mint Soft Drink,"Rs. 1,999",https://www.daraz.pk/products/sprite-lemon-mint-500ml-12-bottles-unique-citrus-mint-soft-drink-i881869672.html,Sprite Drink,Daraz
sprite bottle drink (6 pieces)/ drink bottle sprite/# sprite bottle drink,"Rs. 1,750",https://www.daraz.pk/products/sprite-bottle-drink-6-pieces-drink-bottle-sprite-sprite-bottle-drink-i848555688.html,Sprite Drink,Daraz
CHASE UP COKE SPRITE SOFT DRINK PET BOTTLE 500ML|47155| |,Rs. 116,https://www.daraz.pk/products/500-i894475086.html,Sprite Drink,Daraz
